Country,1970,1975,1980,1985,1990,1995,2000,2005,2010
Qatar,69.81485411,67.28283231,59.10509009,33.70687797,24.85353576,61.47543436,58.76400483,63.1874356,40.09833259
United Arab Emirates,65.78527231,58.22778325,36.3120612,37.00642451,28.75324875,30.07600328,37.1031264,28.53970008,22.30940485
Brunei,65.63112902,45.21430016,36.35675295,11.85117553,25.46488184,19.04143676,19.95702818,14.11642887,22.96032621
Luxembourg,40.52765854,32.99383026,30.27715076,24.99663682,26.23822327,20.40626028,18.91887548,25.24659319,21.33749008
Kuwait,33.24693971,15.96800515,17.91841901,16.73705176,23.1396437,33.67301202,28.42971868,31.59889176,34.23316569
New Caledonia,22.7741105,19.67784337,14.05661967,9.406630522,9.572413847,9.072672244,10.84613026,12.28146097,15.62429412
United States,20.66471465,20.10844789,20.54059203,18.60508308,18.81945743,19.35877149,20.22341689,19.62757965,17.50271785
Libya,16.21313942,4.695593404,8.783001415,8.160421798,8.484719008,9.636980091,9.005473389,9.030495877,9.288532864
Canada,15.72302558,17.1593927,17.47853749,15.54871362,16.24627409,15.68996052,17.42683142,17.43992599,14.6720161
Bahamas,15.1977658,43.70025238,37.93763849,6.440619675,7.615983675,6.01556971,5.604998247,5.005876373,7.186250463
Germany,13.13717155,12.7655002,14.08973538,13.48265026,12.81357045,10.54604616,10.07786447,9.77250761,9.05581625
Belgium,13.05041046,12.47374632,13.73794927,10.61345134,10.90157733,11.20711871,11.37004648,10.41989843,10.16952908
Denmark,12.59864662,10.99443431,11.75288459,11.68683895,9.675485515,10.53541597,8.850265221,8.689944331,8.341948729
Bahrain,12.23502833,21.69633429,22.03337272,24.44860716,24.11013118,28.6541852,29.20955469,26.49808846,19.17841873
United Kingdom,11.73509611,10.73346463,10.28786897,9.905083036,9.979974648,9.58007003,9.233474647,9.001867972,7.954468702
Australia,11.5965694,12.6617602,15.0052502,15.25465833,16.80526217,16.9664942,17.19727773,17.7739756,16.75230078
Sweden,11.48483349,9.864671265,8.634051492,7.471305938,5.973285987,5.748230032,5.619504163,5.709937986,5.598303369
Russia,11.22968003,13.86380787,15.62711409,16.64434757,15.89549953,11.17949456,10.61594912,11.23126521,12.17571588
Slovak Republic,11.05885205,11.90000329,12.05048058,11.63880146,10.09967538,7.85046852,6.90275731,7.233132478,6.607508917
Netherlands,10.951822,11.25011577,12.59858612,10.23565607,10.97706271,10.76569556,10.42363724,10.56163794,10.95895573
Nauru,10.16479285,14.52145215,16.6488604,15.2516108,17.21815733,12.87194918,10.22474521,8.700810757,8.223630749
Poland,9.358227862,11.05399497,13.05705575,11.98488475,9.636806895,9.032723968,7.875842074,7.954155601,8.287696297
Trinidad and Tobago,9.298739844,9.53913461,15.70797007,17.69652422,13.95180341,16.62064794,18.97102658,21.72594204,37.77735535
Singapore,8.779073066,10.84711931,13.01712429,12.33621227,15.55944659,13.52960291,12.50257274,7.115879149,2.657862567
Finland,8.769434985,9.784144891,12.1856846,10.13040524,10.37620486,10.34143453,10.07782806,10.41897471,11.52722585
France,8.647469615,8.480986532,9.378557143,7.250959552,7.035870965,6.798462427,6.190346876,6.427193278,5.753381167
Greenland,8.212903735,10.2044932,11.24654769,9.585065102,10.03264209,9.097937681,9.460934349,10.64288629,11.07116262
Saudi Arabia,7.846189936,11.34551038,17.28199072,13.05835187,13.50316734,12.77494665,14.81188552,16.53858332,16.92060908
Japan,7.412508012,7.851355137,8.173985682,7.628214802,8.954798071,9.50975425,9.699930931,9.795391138,9.251199185
